PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,TEU,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS & NUMBERS,IMPORTER ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,DISTRIBUTION PORT,MASTER B/L,VOYAGE NUMBER,SEAL,SHIPMENT REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
"68029100 (CG) 680291 (HS) 680293 (HS) 680299 (HS) SAME AS CARGO LINE 1 68029100 (CG) 680291 (HS) 680293 (HS) 680299 (HS) SAME AS CARGO LINE 1 68029100 (CG) 680291 (HS) 680293 (HS) 680299 (HS) (THREE) 20' DV CNTRS WITH STONE SLABS, AS FOLECMU2767473 08 BUNDLE(S), POLISHED GRANITE INFINITY PLATINUM FIRST 2CM 55,521M2 POLISHED GRANITE UBATUBA GREEN FIRST 2CM - 47,274M2 POLISHED GRANITE INFINITY PLATINUM FIRST 2CM 56,826M2 POLISHED GRANITE BLANC DU BLANC FIRST 2CM - 124,028M2POLISHED QUARTZITE PERLA ROCCA FIRST 2CM - 134,224M2 POLISHED GRANITE BLACK SAO GABRIEL FIRST 2CM 32,525M2 71 SLABS INVOICE: 0155/2025 MAGU2385755 08 BUNDLES(S)POLISHED MARBLE MATARAZZO FIRST 2CM - 50,334MPOLISHED GRANITE ANTARTIC WHITE FIRST 2CM - 127,857M2 POLISHED GRANITE VIA LACTEA FIRST 2CM - 105,8POLISHED GRANITE BLACK SO GABRIEL FIRST 2CM -52,796M2 POLISHED GRANITE BLACK SO GABRIEL COM 2CM - 52,062M2POLISHED MARBLE BRAZILIAN IMPERIAL DANBY FIRS- 66,069M2 74 SLABS INVOICE: 0156/2025 MAGU2384091 08 BUNDLES(S) POLISHED GRANITE UBATUBA GREEN FIRST 2CM - 128,840M2POLISHED GRANITE ORNAMENTAL GUIDONI FIRST 2CM50,130M2 POLISHED GRANITE ALASKA GOLD FIRST 2CM - 86,5POLISHED GRANITE WHITE DALLAS FIRST 2CM - 60,POLISHED GRANITE WHITE DALLAS FIRST 2CM - 123,586M2 75 SLABS INVOICE: 0157/2025FREIGHT COLLECT RUC: 5BR0557466620000000SSZ1636813 NCMS: 68029100, 68029390, 68029990 HS CODE: 680291, 680293, 680299 WOODEN PACKAGE USED: TREATED / CERTIFIED RUC:5BR0557466620000000SSZ1636813 DUE:. THIS MASTER BILL COVERS AUTOMATED NVOCC HOUSEBILL:AWSL292825 SCAC CODE: AWSL",LAM USA INTERNATIONAL LLC,LAM USA INTERNATIONAL,AMTRANS LOGISTICA E TRANSP INTL,2025-07-11,3,190467,86576,Port Bustamante,"Port Everglades, Florida",CMA CGM VENTANIA,Jamaica,NO MARKS NO MARKS MINERACAO BORCHARDT LTDA / BRAZIL,"2792 NW 24TH ST, SUITE 110 MIAMI FL 33142, USA","AS AGENT FOR ALL WORLD SHIPPING CORP. RUA LAGUNA, 157 S 201 CEP:88301-460 ITAJAI/SC/BRASIL",,3,MAGU2385755 MAGU2384091 ECMU2767473,2200 2200 2200,24,PKG,0,CM,CMDUSSZ1636813,M,,,0AGIB,M1089240 M0973395 M0973397,PORTUGAL,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,LAM USA INTERNATIONAL LLC,"2792 NW 24TH ST, SUITE 110 MIAMI FL 33142, USA",VITORIA
IQF MSC ALASKA POLLOCK PORTION SIZE 1.65-2OZ,POLAR BAY FOODS INC,POLAR BAY FOODS INC,-NOT AVAILABLE-,2025-07-11,2,53214,24188,Kaohsiung,"Seattle, Washington",OOCL SEATTLE,China Taiwan,N/M,1417 238TH AVE SE SAMMAMISH WA 98075 US,-NOT AVAILABLE-,98075,1,EMCU5677727,,1125,CTN,0,,MOSJHWVN25060681,H,,EGLV235500780079,035E,EMCSYB2413,LIBERIA,,MOSJ,,,,,,POLAR BAY FOODS INC,1417 238TH AVE SE,HO CHI MINH CITY
"IQF MSC ALASKA POLLOCK PORTION IQF MSC ALASKA POLLOCK PORTION SIZE 1.65-2OZ 1125CTNS ITEM#200163 PO#172140 HS CODE 03047500, @ FAX 001-781-428-3621 @@ FAX 001-781-428-3621 REEFER CONTAINER TEMPERATURE SET AT -22.0 DEGREES CELSIUS",YT GLOBAL INC. BOSTON OFFICE,YT GLOBAL INC,HEADWAY JOINT STOCK COMPANY,2025-07-11,2,53214,24188,Kaohsiung,"Seattle, Washington",OOCL SEATTLE,China Taiwan,N/M N/M THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME,"400 FRANKLIN ST, STE. 305, BRAINTREE, MA 02184 E-MAIL: OPBOS@YTGLOBAL.US / DOCUMENT@YTGLOBAL.US","44 NGUYEN VAN KINH STREET, QUARTER 1, THANH MY LOI WARD, THU DUC CITY, HO CHI MINH CITY, VIETNAM TEL: (+84) 28 22008866",02184,1,EMCU5677727,,1125,CTN,50,X,EGLV235500780079,M,,,035E,EMCSYB2413,LIBERIA,,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338,,,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,YT GLOBAL INC. BOSTON OFFICE,"400 FRANKLIN ST, STE. 305, BRAINTREE, MA 02184 E-MAIL: OPBOS@YTGLOBAL.US / DOCUMENT@YTGLOBAL.US",HO CHI MINH
EMPTY BEER KEGS 1/6 BBL C/O ALASKAN BREWING CAMPANY (JUNEAU) CBPF 3461,MAGICAL CRUISE COMPANY LIMITED,MAGICAL CRUISE CO,MAGICAL CRUISE COMPANY LIMITED,2025-07-11,0,300,136,"Vancouver, BC","Juneau, Alaska",DISNEY WONDER,Canada,NO MARKS NO NUMBERS,DBA DISNEY CRUISE LINE 200 CELEBRATION PLACE CELEBRATION FL 34747 US,DBA DISNEY CRUISE LINE 200 CELEBRATION PLACE CELEBRATION FL 34747 US,34747,1,NC,,20,PCS,0,,DCRLW07112504,,,,2123,,BAHAMAS,,DCRL,DISNEY CRUISE LINE,HAMMERSMITH LONDON,,W69-9P9,3 QUEEN CAROLINA STREET,-NOT AVAILABLE-,-NOT AVAILABLE-,US
"(ONE) 20 DB CNTR WITH SLABS OF STONE AS FOLLOWS 08 BUNDLE(S) QUARTZITE CRISTAL ROYAL POLISHED 02CM 162450M2 GRANITE ALASKA JEGAM POLISHED 03CM 87220M2 QUARTZITE TAJ MAHAL POLISHED 02CM 52682M2 GRANITE VALE NEVADO POLISHED03CM 38256M2 GRANITE NEW CALEDONIA BRUSHED 03CM 43255M2 69 SLABS INVOICE 02825 HS COD, E 680299 680293 FREIGHT PREPAID ABROAD WOODEN PACKING TREATED AND CERTIFIED RUC 5BR43946146200000000SDESIGN02825",JEGAM STONE,JEGAM STONE,STONE DESIGN OF BRASIL LTDA,2025-07-10,1,59525,27057,Rio de Janeiro,"Port Everglades, Florida",MAERSK MONTE AZUL,Brazil,STONE DESIGN BRAZIL,4001 NW 77th Ave. Miami FL. 33166 MIAMI FL 33166 US EM jegam.inc@gmail.com,CNPJ 43.946.146000137 R LATINO MORE VARGEM ALTA NA 29295000 BR EM vendas@grazan.com.br,33166,1,BEAU2005950,22G1,8,BDL,331,CF,MAEU254497210,,,,523N,BR0032739,SINGAPORE,,MAEU,MAERSK LINE,MADISON,NJ,07940-0880,"2 GIRALDA FARMS, MADISON AVE.",TRANSLOGISTICA USA SERVICE INC,1800 NW 133RD AVE SUITE 500 MIAMI F,RIO DE JANEIRO
"------------ TTNU8421576 DESCRIPTION----------------------GENERIC DESCRIPTION-------------1,241 CARTONS (14,676.35 KGS) OF FROZEN ALASKA POLLOCK HALF-DRIED ALASKA POLLOCK HALF-DRIED ALASKA POLLOCK CHUNK FROZEN COD PORTION, FROZEN POLLOCK PORTION FROZEN POLLOCK ROE FROZEN REX SOLE PAN READY (ORIGIN : USA) FROZEN SEASONED ALASKA SKATE (ORIGIN: SOUTH KOREA) SETTING TEMP.:-25'C HS CODE NO. 0303.67-0000, 0303.63-0000,0303.91-2010 0303.39-1000, 1604.20-9000 BROKER: ANDREW J PARK, CHB 19515 S VERMONT AVE 100 TORRANCE CA 90502 MARKINGS:N/M CARGO IS STOWED IN A REFRIGERATED CONTAINER AT THE SHIPPER'S REQUESTED CARRYING TEMPERATU-25 DEGREES CELSIUS",EVERGREEN OCEAN INC,EVERGREEN OCEAN INC,C.I.G. KOREA LTD.,2025-07-10,2,34870,15850,Pusan,"Los Angeles, California",PRESIDENT GRANT,South Korea,NO MARKS,"14205 SE 36TH ST, SUITE 100, BELLEVUE, WA 98006 USA","SUITE 505, 125 WONYANG-RO, SEO-GU, BUSAN, KOREA",98006,1,TTNU8421576,45R1,1241,CTN,0,CM,CMDUSEL1933634,H,,CMDUSEL1914726,0DBLS,R8762103,UNITED STATES,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,CASCADIA INTERNATIONAL GROUP INC.,14205 S.E. 36TH STREET SITE 100 PMB 420 BELLEVUE W/A 98006,"BUSAN, KOREA"
"FISH MEAT PRODUCTS, N.O.S., PREPARED OR PRES / FISH FILLET,MEAT FRE/CHI/FRO, ALASKA POLLACK","FAREAST FREIGHT NETWORKS, INC. (LA)",FAR EAST FREIGHT NETWORKS INC,"GREAT DRAGON LOGISTICS, LTD.",2025-07-10,2,42033,19106,Yokohama,"Honolulu, Hawaii",ASIATIC PRIDE,Japan,NO MARKS NO MARKS,. 2662 E. DEL AMO BLVD COMPTON CA 902 21 US,". 8FLOOR, 96, CHUNGANG-DAERO CHUNG-KU , PUSAN 600-011 KR",,1,MORU1310862,4FR0,1599,CTN,37,CM,ONEYSGNFC7374900,M,,,061E,VN48553AJ,SINGAPORE,,ONEY,ORATEL NETWORKS,TORONTO,ON,M5X 1C7,100 KING STREET WEST SUITE 5700,"FAREAST FREIGHT NETWORKS, INC. (LA)",. 2662 E. DEL AMO BLVD COMPTON CA 902 21 US,HO CHI MINH
"FISH FILLET,MEAT FRE/CHI/FRO, ALASKA POLLACK",KOHA FOODS INC,KOHA FOODS,"VINA PRIDE SEAFOODS CO., LTD",2025-07-10,1.1933424055270596,25080,11400,Yokohama,"Honolulu, Hawaii",ASIATIC PRIDE,Japan,NO MARKS,". 274 PUUHALE ROAD, HONOLULU, HAWAII HONOLULU HI 96819 US",". LOT Q-2A, CENTER STREET, LONG HAU I LONG AN 81000 VN",96819,1,MORU1310862,4FR0,950,CTN,37,CM,ONEYSGNFC7374A02,H,,ONEYSGNFC7374900,061E,VN48553AJ,SINGAPORE,,ONEY,ORATEL NETWORKS,TORONTO,ON,M5X 1C7,100 KING STREET WEST SUITE 5700,"HNK, INC. KOHA ORIENTAL FOODS",. 274 PUUHALE ROAD HONOLULU HI 96819 US,HO CHI MINH
"1X40' HQ FCL CONTAINER STC FOODSTUFF FRUIT DRINKS 2100 ML (MANGO, GUAVA, POMEGRANATE) 1690CARTONS (21294 LTRS) HS CODE= 2009.1900 AS P ER INVOICE # AFC/204/2025 FI NO= MCB-EXP-094324-02052025 FI NO= MCB-EXP-096568-20052025 SCAC CODE = BARS HBL NO. LS-14609-CHS ACTUAL EXPORTER = ALASKA FOODS (PRIVATE) LIMITED ACTUA, L CONSIGNEE= US GOURMET FOOD LLC. 17-09 ZINK PL UNIT#3 FAIR LAWN, NJ 07410","BARSAN GLOBAL LOGISTICS, INC.",BARSAN GLOBAL LOGISTICS INC,LOGISTIC SOLUTIONS (PVT) LTD,2025-07-10,2,52393,23815,Colombo,"New York/Newark Area, Newark, New Jersey",WAN HAI A15,Sri Lanka,1-1690 . . . . . . . .,"36 W 44TH STREET STE 1212 NEW YORK, NY 10036, OFFICE NO= (212) 203 068 3 FAX NO (212) 733 0731 10036] .","2-B, BLOCK-G, GULBERG II LAHORE .",,1,WHSU8047130,4500,1690,CTN,60,X,WHLC058F104306,M,,,E005,WHLY227570,SINGAPORE,,WHLC,WAN HAI LINES LTD,PHOENIX,AZ,85021,2510 WEST DUNLAP AVE STE 650,"BARSAN GLOBAL LOGISTICS, INC.","36 W 44TH STREET STE 1212 NEW YORK, NY 10036, OFFICE NO= (212) 203 068 3 FAX NO (212) 733 0731 10036] .","KARACHI, PAKISTAN"
MSC FROZEN ALASKA POLLOCK FILLET BLOCK,THE HADLEY COMPANY LLC,THE HADLEY COMPANY,"VINA PRIDE SEAFOODS CO.,LTD",2025-07-09,2,59125,26875,Ningpo,"Boston, Massachusetts",EVER FORTUNE,China,NM,27 OLDE KNOLL ROAD MARION MA 02738 US,"LOT Q-2A, CENTER ST, LONG HAU I/P LONG HAU COMMUNE, CAN GIUOC DIST LONG AN VN",02738,1,EMCU5432935,,860,CTN,0,,SHZSSHBOS501628,H,,EGLV235500717652,1215E,EMCKNA3304,SINGAPORE,,SHZS,SEAHORSE SHIPPING CORPORATION,,,,,-NOT AVAILABLE-,-NOT AVAILABLE-,NINGBO CHINA
MSC FROZEN ALASKA POLLOCK FILLET BLOCK MSC FROZEN ALASKA POLLOCK FILLET BLOCK SCAC CODE SHZS HBL SHBOS501628 REEFER CONTAINER TEMPERATURE SET AT -22.0 DEGREES CELSIUS,"TRANSCON SHIPPING CO, INC (NJ)",TRANSCON SHIPPING CO INC,SEAHORSE SHIPPING CORPORATION,2025-07-09,2,59125,26875,Ningpo,"Boston, Massachusetts",EVER FORTUNE,China,N/M N/M THE SAME THE SAME THE SAME THE SAME,"20 CROSSWAYS PARK NORTH, SUITE 210, WOODBURY NY 11797 EMAIL: NYC@TRANSCONSHIPPING.COM TEL: 201-798-0811","05 DONG NAI STR, TAN BINH DIST HO CHI MINH CITY, VIET NAM",11797,1,EMCU5432935,,860,CTN,31,X,EGLV235500717652,M,,,1215E,EMCKNA3304,SINGAPORE,,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338,,,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,"TRANSCON SHIPPING CO, INC (NJ)","20 CROSSWAYS PARK NORTH, SUITE 210, WOODBURY NY 11797 EMAIL: NYC@TRANSCONSHIPPING.COM TEL: 201-798-0811",HO CHI MINH
"MSC FROZEN ALASKA POLLOCK FILLET FROZEN ATLANTIC COD LOINS IQF SKINLESS, BONELESS WILD CAUGHT PROCESSED IN CHINA VENT CLOSED SHIPPED ON BOARD DATE 24/05/2025, SHIPPER DECLARES THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS. TEMPERATURE SET AT -25.0 C.",YT GLOBAL INC. BOSTON OFFICE,YT GLOBAL INC,"YT GLOBAL CO., LTD.",2025-07-09,2,54419,24736,Ching Tao,"Boston, Massachusetts",EVER FORTUNE,China,N/M N/M THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME,"400 FRANKLIN ST, STE. 305, BRAINTREE, MA 02184 TEL: 001-781-579-2060 FAX: 001-781-428-3621","RM 1510, NO. 2 LUSHAN ROAD, HUANGDAO DISTRICT, QINGDAO, CHINA ZIP CODE: 266555",02184,1,EGSU5052024,,1135,CTN,57,X,EGLV140557056523,M,,,1215E,EMCPBK3184,SINGAPORE,,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338,,,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,YT GLOBAL INC. BOSTON OFFICE,"400 FRANKLIN ST, STE. 305, BRAINTREE, MA 02184 TEL: 001-781-579-2060 FAX: 001-781-428-3621","QINGDAO, CHINA"
MSC FROZEN ALASKA POLLOCK FILLETS MSC FROZEN ALASKA POLLOCK FILLETS (THERAGRA CHALCOGRAMMA) @ BMURPHY@EASTERNFISHERIES.COM REEFER CONTAINER TEMPERATURE SET AT -23.0 C.,"EASTERN FISHERIES,INC.",EASTERN FISHERIES INCORPORATED,DALIAN GUOFU AQUATIC PRODUCTS,2025-07-09,2,49500,22500,Pusan,"Boston, Massachusetts",EVER FORTUNE,South Korea,N/M N/M THE SAME THE SAME THE SAME THE SAME,"214 SAMUEL BARNET BLVDNEW BEDFORD, MA ,02745 U.S.A. PH 508-993-5300 X407 FX 508-991-2226","AND FOOD CO,.LTD LANDIAN TOWN ZHUANGHE CITY DALIAN CHINA",,1,EMCU5379126,45R1,4500,CTN,50,X,EGLV144500116996,,,,1215E,EMCKRX9784,SINGAPORE,,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338,,,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,A&A LTD,"700 PLEASANT STREET, SUITE 540 NEW BEDFORD, MA 02740 PH 508-999-1383 FX 508-992-2835 STEVE RENAUT","DALIAN, CHINA"
FROZEN MSC ALASKA POLLOCK FILLET FROZEN MSC HADDOCK LOIN FROZEN MSC HADDOCK FILLET FROZEN MSC HADDOCK PORTION THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS TEMP:-22'C VENT: CLOSED,CONSCO FOODS INC,CONSCO FOODS INC,-NOT AVAILABLE-,2025-07-08,2,48818,22190,Ching Tao,"Seattle, Washington",MSC EMMA,China,N/M,"9999 BOUL CAVENDISH, SUITE 210 SAIN T LAURENT, QUEBEC H4M 2X5 .",-NOT AVAILABLE-,,1,CXRU1440397,45R1,4000,CTN,0,,SAACAGTAOR11323,H,,MEDUOP318498,523A,FX41268396,LIBERIA,,SAAC,SANTIAGO & ASSOCIATES INC,ST LOUIS,MO,63141,5 THE PINES CT #5C,-NOT AVAILABLE-,-NOT AVAILABLE-,QINGDAO
"2,480 CTNS OF FOODSTUFFS(DRIED ALASKA POLLAC K)",WANG GLOBALNET(KFL),WANG GLOBALNET,"SAMJIN GLOBALNET CO., LTD",2025-07-08,2,46156,20980,Pusan,"Long Beach, California",ONE FORTUNE,South Korea,N/M,2465 FRUITLAND AVE. VERNON CA 90058 U.S.A. . TE 213-622-5111,"562, SAMSEONG-RO, GANGNAM-GU, SEOUL KOREA . TE 02)3299-0900",90058,1,YMLU8683041,45G0,2480,CTN,0,CM,BNXCKTH202506069,H,,YMJAW360930051,004E,YMAT787762,HONG KONG,,BNXC,BINEX LINE CORPORATION,EL SEGUNDO,CA,90245,200 N SEPULVEDA BLVD #1610,WANG GLOBALNET(KFL),2465 FRUITLAND AVE. VERNON CA 90058 U.S.A. .,BUSAN
"FISH OF THE FAMILIES BREGMACEROTIDAE EUCLICH2,480 CTNS OF FOODSTUFFS (DRIED ALASKA POLLACK)",BINEX LINE CORP.(L.A),BINEX LINE CORPORATION,-NOT AVAILABLE-,2025-07-08,2,46156,20980,Pusan,"Long Beach, California",ONE FORTUNE,South Korea,N/M // //,19515 SOUTH VERMONT AVE. TORRANCE CA 90502. USA LAIMPORTBINEXLINE.COM TE TEL 310-416-8600,-NOT AVAILABLE-,19515,1,YMLU8683041,45G0,2480,CTN,0,CM,YMJAW360930051,M,,,004E,YMAT787762,HONG KONG,,YMJA,,,,,,BINEX LINE CORP.(L.A),19515 SOUTH VERMONT AVE. TORRANCE CA 90502. USA LAIMPORTBINEXLINE.COM,BUSAN KOREA
ALASKA BRIGHT 235G/M2 ALASKA BRIGHT 235G/M2 ALASKA BRIGHT 235G/M2 ALASKA BRIGHT 235G/M2 ALASKA BRIGHT 235G/M2 ALASKA BRIGHT 235G/M2 ALASKA BRIGHT 235G/M2 ALASKA BRIGHT 235G/M2 ALASKA BRIGHT 235G/M2 ALASKA BRIGHT 235G/M2 ALASKA BRIGHT 235G/M2 ALASKA BRIGHT 235G/M2 ALASKA BRIGHT 235G/M2,ASPEN PRODUCTS,ASPEN MEXICO S DE RL DE CV,MM KOTKAMILLS BOARDS OY,2025-07-08,26,596453,271115,Stade,"Norfolk, Virginia",ADAMS,Germany,NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS NO MARKS,"4231 CLARY BLVD 64130 KANSAS CITY, MO UNITED STATES",P.O. BOX 62-63 FI-48101 KOTKA FINLAND,64130,13,UACU5403460 HAMU1167255 SEGU5673030 SKIU9115219 FANU1265572 FANU1666765 HAMU3534283 UACU5395359 CAIU9769636 FSCU8434466 SEGU5105106 UACU5593694 TLLU5348119,4510 4510 4510 4510 4510 4510 4510 4510 4510 4510 4510 4510 4510,229,PCS,0,,HLCUHAM250591479,,,,525W,HLD1341813 HLD1341837 HLD1341848 HLD1341843 HLD1341818 HLD1341835 HLD1341839 HLD1341830 HLD1341828 HLD1341812 HLD1341842 HLD1341811 HLD1341815,LIBERIA,61,HLCU,HAPAG LLOYD A G,HAMBURG,,,399 HOES LN,JOHN A. STEER CO.,"2100 CORAL WAY, SUITE 501 MIAMI, FLORIDA USA EMAIL D.PROCACCINOJASTEER.COM","KOTKA, FI"
DRIED ALASKA POLLACK IN PACK,WG HANMI INC.,WG HANMI INC,"SAMJIN GLOBALNET CO.,LTD.",2025-07-07,2,33315,15143,Pusan,"Savannah, Georgia",COSCO SHIPPING ROSE,South Korea,NO MARKS,"2323 BROWN RD BLDG.100 STE C, BUFOR D, GA 30519 .","562, SAMSEONG-RO, GANGNAM-GU, SEOUL , KOREA .",30519,1,FCIU9619779,45G0,2985,CTN,0,,JSSYJSBAT2506105,H,,OOLU2758685870,040E,OOLKAB8637,HONG KONG,,JSSY,JOO SUNG SEA & AIR CO LTD,SEOUL,,,RM# 604 SAMSUN BLDG NAMCHANG-DONG CHUNG-KU,JSL LOGISTICS INC,12750 CENTER COURT DRIVE SUITE 170 CERRITOS CA 90703 .,"BUSAN, KOREA"
DRIED ALASKA POLLACK IN PACK,JSL LOGISTICS INC,JSL LOGISTICS INC,JOOSUNG CORPORATION,2025-07-07,2,33315,15143,Pusan,"Savannah, Georgia",COSCO SHIPPING ROSE,South Korea,N/M .,12750 CENTER COURT DRIVE SUITE 170 CERRITOS CA UNITED STATES TE 9229117,"2F, NO.211 10, TOEGYE-RO 36GA-GIL SEOUL . SOUTH KOREA TE 20274701",12750,1,FCIU9619779,45G0,2985,CTN,0,CM,OOLU2758685870,M,,,040E,OOLKAB8637,HONG KONG,61,OOLU,ORIENT OVERSEAS CONTAINER LINE LTD,,,,4141 HACIENDA DR,JSL LOGISTICS INC,12750 CENTER COURT DRIVE SUITE 170 CERRITOS CA UNITED STATES,BUSAN
FROZEN MSC ALASKA POLLOCK FILLETS IQF SKINLESS BONELESS (TH,SEA TRADE INTERNATIONAL INCORPORATE,SEA TRADE INTERNATIONAL INCORPORATED,SEA TRADE INTERNATIONAL INCORPORATI,2025-07-07,2,53900,24500,Pusan,"New York/Newark Area, Newark, New Jersey",COSCO SHIPPING AZALEA,South Korea,NO MARKS,100 LIGHTING WAY SECAUCUS NJ 07094 UNITED STATES TE 4228675,"SUITE 2105,YIN ZHOU INTERNATIONAL B DALIAN LN 116000 CHINA TE 82506205 82714441",07094,1,CXRU1485133,4FR0,1200,CTN,45,CM,COSU6418226120,M,,,031E,N220010,HONG KONG,,COSU,CHINA OCEAN SHIPPING COMPANY,SECAUCUS,NJ,07094,100 LIGHTING WAY,SEA TRADE ENTERPRISES CANADA INC.,SUITE 302 2680 MATHESON BOULEVARD E MISSISSAUGA ON L4W 0A5 CANADA,DALIAN
FROZEN FLOUNDER FILLETS FROZEN ALASKA POLLOCK FILLETS,"DAGIM TAHORIM CO.,INC.",DAGIM TAHORIM CO INC,"YANTAI SANKO FISHERIES CO., LTD.",2025-07-07,2,45672,20760,Ching Tao,"New York/Newark Area, Newark, New Jersey",COSCO SHIPPING AZALEA,China,NO MARKS,"1681-54TH STREET BROOKLYN,NY 11204T EL:718-851-1006-7 FAX:718-972-9120 .","NO.16 LONGZHU ROAD LAISHAN ECONOMIC DEVELOPMENT ZONE, YANTAI CHINA .",,1,CGMU5691119,45R1,2901,CTN,0,,QGCAOP250500076,H,,CMDUQGD1808389,031E,R4584312,HONG KONG,,QGCA,,,,,,"DAGIM TAHORIM CO.,INC.","1681-54TH STREET BROOKLYN,NY 11204T EL:718-851-1006-7 FAX:718-972-9120 .",QINGDAO
"CARGO IS STOWED IN A REFRIGERATED CONTAINER STHE SHIPPER'S REQUESTED CARRYING TEMPERATURE -23 DEGREES CELSIUS FROZEN FLOUNDER FILLETS FROZEN ALASKA POLLOCK FILLETS THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS, TEMP:-23'C VENT:CLOSED FREIGHT PREPAID",UNIWORLD SHIPPING CORP,UNIWORLD SHIPPING CORP,QINGDAO GRAND COURSE INTERNATIONAL,2025-07-07,2,56012,25460,Ching Tao,"New York/Newark Area, Newark, New Jersey",COSCO SHIPPING AZALEA,China,N/M,"3230 FALLOW FIELD DR,STE 101 DIAMOND BAR,CA 91765 TEL:909-999-1388 TE EMAIL:JACKIE UNIWORLD-SHIPPING.COM","LOGISTICS CO LTD RM 1910, NO. 40, HONG KONG MIDDLE ROAD,SHINAN DISTRICT TE QINGDAO CHINA 266000",91765,1,CGMU5691119,45R1,2901,CTN,0,CM,CMDUQGD1808389,M,,,0MBJO,R4584312,HONG KONG,,CMDU,COMPAGNIE MARITIME D-AFFRETEMENT,NORFOLK,VA,23502,5701 LAKE WRIGHT DR,UNIWORLD SHIPPING CORP,"3230 FALLOW FIELD DR,STE 101 DIAMOND BAR,CA 91765 TEL:909-999-1388",QINGDAO
"01X20 CONTAINER DRY BOX, WITH: 06 BUNDLES WITH 38 POLISHED SLABS OF STONES AND 01 BOX OF CUT OF STONES, AS FOLLOWS: ALASKA WHITE POLISHED3CM - 43,029 M2 - 463,160 SQFT ALASKA WHITE POLISHED 3CM - 36,768 M2 - 395,767 SQFT ALASKA WHITE POLISHED 3CM - 36,576 M2 - 393,701 SQFT ALASKA WHITE POLISHED 3CM - 36,270 M2 - 3, 90,407 SQFT ALASKA WHITE POLISHED 3CM - 35,880 M2 - 386,209 SQFT ALASKA WHITE POLISHED 3CM - 41,958 M2 - 451,632 SQFT CUT OF STONES SEVERAL SIZES - 1,000 M2 - 10,764 SQFT NALADI/HS CODE: 680223 NCM: 6802.2300 RUC: 5BR009817560001692GRANITI1 10025 INVOICE: 1100/25 PO#10132 WOODEN PACKAGE: TREATED AND CERTIFIED MRUC: 5BR082258572EBKG12958284 68029390 HS CODE:680293",INTERGLOBO NORTH AMERICA INC,THE INTERGLOBO NORTH AMERICA INC,INTERGLOBO DO BRASIL - LOGISTICA IN,2025-07-07,1,44277,20126,Rio de Janeiro,"Savannah, Georgia",MSC DAMLA,Brazil,GRANITI/BRASIL SAME SAME SAME SAME SAME SAME SAME SAME SAME SAME SAME SAME SAME SAME SAME,825 NORTHERN BLVD STE 302 GREAT NECK NY 11021 UNITED STATES,"RUA VILELA, 652/AND 8 CJ 805/806/80 SAO PAULO SP 03314000 BRAZIL",11021,1,FTAU1248157,22G0,7,PKG,6,X,MEDUXG071574,M,,,522R,FJ22297503,PANAMA,,MEDU,MSC MEDITTERRANEAN SHIPPING COMPANY SA,GENEVA,,,,INTERGLOBO NORTH AMERICA INC,825 NORTHERN BLVD STE 302 GREAT NECK NY 11021 UNITED STATES,VITORIA
